isbn13,titre,auteur_prenom,auteur_nom,date_publication,nb_pages,lien google book,recherche google
9782070705238,Le Livre du rire et de l'oubli,Milan,Kundera,12/09/1985,366,https://www.google.fr/books/edition/_/jAd_QgAACAAJ?hl=fr,https://www.google.com/search?q=9782070705238
9782070718399,L'immortalité,Milan,Kundera,30/07/1992,420,https://www.google.fr/books/edition/_/nLh6AQAACAAJ?hl=fr,https://www.google.com/search?q=9782070718399
9782020125147,Les Quatre concepts fondamentaux de la psychanalyse,Jacques,Lacan,08/11/1990,312,https://www.google.fr/books/edition/_/jsHaAQAACAAJ?hl=fr,https://www.google.com/search?q=9782020125147
9782866453817,La légende d'Alexandre,J.,Lacarriere,05/09/2000,175,https://www.google.fr/books/edition/_/oYIiAQAAIAAJ?hl=fr,https://www.google.com/search?q=9782866453817
9782862600772,Le Caire,edwige,Lambert,01/02/1985,150,https://www.google.fr/books/edition/_/mlYyjwJfrYgC?hl=fr,https://www.google.com/search?q=9782862600772
9782020516570,Le Professeur et la Sirène,Giuseppe,Lampedusa,19/03/2002,155,https://www.google.fr/books/edition/_/qQ22GQAACAAJ?hl=fr,https://www.google.com/search?q=9782020516570
9782100069880,Construisons des fusées à eau,Ivan,Lanoë,27/11/2003,135,https://www.google.fr/books/edition/_/fV4mHAAACAAJ?hl=fr,https://www.google.com/search?q=9782100069880
9782226254399,L'âne et l'abeille,Gilles,Lapouge,29/01/2014,336,https://www.google.fr/books/edition/_/iFTlnQEACAAJ?hl=fr,https://www.google.com/search?q=9782226254399
9782707197009,Où atterrir ?,Bruno,LATOUR,12/10/2017,160,https://www.google.fr/books/edition/_/UUtaswEACAAJ?hl=fr,https://www.google.com/search?q=9782707197009
9782847420975,Ailleurs si j'y suis,Antoine,Laurain,04/01/2007,160,https://www.google.fr/books/edition/_/JSO5PQAACAAJ?hl=fr,https://www.google.com/search?q=9782847420975
9782070385287,Les sept piliers de la sagesse,Thomas,Lawrence,23/06/1992,944,https://www.google.fr/books/edition/_/jR8sJAAACAAJ?hl=fr,https://www.google.com/search?q=9782070385287
9782070719914,Le paradis retrouvé,Halldor,Laxness,01/06/1990,292,https://www.google.fr/books/edition/_/u4f-PAAACAAJ?hl=fr,https://www.google.com/search?q=9782070719914
9782220054179,Libertin et chrétien,Marc,Leboucher,10/06/2004,219,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782220054179
9782738112989,Cerveau de Mozart (Le),Bernard,Lechevalier,10/05/2003,338,https://www.google.fr/books/edition/_/VB8e10fAL2sC?hl=fr,https://www.google.com/search?q=9782738112989
9782213700700,"Spinoza, un ami qui nous aide a vivre",Frédéric,Lenoir,08/11/2017,234,https://www.google.fr/books/edition/_/026JswEACAAJ?hl=fr,https://www.google.com/search?q=9782213700700
9782253932291,Le système périodique,Primo,Levi,25/01/1995,252,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782253932291
9782266022507,Si c'est un homme,PRIMO,LEVI,,,https://www.google.fr/books/edition/_/qLqongEACAAJ?hl=fr,https://www.google.com/search?q=9782266022507
9782738100399,De près et de loin,Claude,Levi-Strauss,01/09/1988,254,https://www.google.fr/books/edition/_/AZa8DwAAQBAJ?hl=fr,https://www.google.com/search?q=9782738100399
9782020127851,De près et de loin,Claude,Lévi-Strauss,01/02/1991,,https://www.google.fr/books/edition/_/zZogAQAAMAAJ?hl=fr,https://www.google.com/search?q=9782020127851
9782081625983,Les dieux s'amusent,Denis,Lindon,08/04/2004,349,https://www.google.fr/books/edition/_/qepcPQAACAAJ?hl=fr,https://www.google.com/search?q=9782081625983
9782070401031,Le sphinx de Sibérie,Robert,Littell,03/10/1996,464,https://www.google.fr/books/edition/_/3ZGcGQAACAAJ?hl=fr,https://www.google.com/search?q=9782070401031
