isbn13,titre,auteur_prenom,auteur_nom,date_publication,nb_pages,lien google book,recherche google,cover
9782070372171,Moby Dick,Herman,Melville,01/09/1980,,https://www.google.fr/books/edition/_/ZRqoswEACAAJ?hl=fr,https://www.google.com/search?q=9782070372171,https://inventaire.io/img/entities/37a38324dcc0445965dfd8ace153dc25cb2863c9
9782070322909,L'oeil et l'esprit,Maurice,Merleau-Ponty,11/04/1985,92,https://www.google.fr/books/edition/_/Q3AxAQAAIAAJ?hl=fr,https://www.google.com/search?q=9782070322909,https://inventaire.io/img/entities/695cc86bef1b974fd64aea634d6eb7fa3415173b
9782070706228,Un barbare en Asie,Henri,Michaux,03/02/1986,238,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782070706228,https://inventaire.io/img/entities/a57ad91872716427482e140051b21c42f1200ed6
9782070404520,Pèlerinage aux trois montagnes,Yukio,Mishima,05/06/1998,320,https://www.google.fr/books/edition/_/jTRrGQAACAAJ?hl=fr,https://www.google.com/search?q=9782070404520,https://inventaire.io/img/entities/8d2ea3cd7e4fb1f2a314faed82a2ee73c92cc791
9782070368358,La ronde de nuit,Patrick,Modiano,26/11/1976,152,https://www.google.fr/books/edition/_/PwpsQgAACAAJ?hl=fr,https://www.google.com/search?q=9782070368358,https://inventaire.io/img/entities/2c23d95ffc894117ef6a540aca2b706ef2a7b2c5
9782070373581,Rue des boutiques obscures,Patrick,Modiano,04/03/1982,256,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782070373581,https://inventaire.io/img/entities/8621f52975688672e87f0b5d721b58369c460ec0
9782070376292,Une jeunesse,Patrick,Modiano,13/03/1985,182,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782070376292,https://inventaire.io/img/entities/609530c7c705780a79eb5cebe3fa521bced4f742
9782070773336,Un pedigree,Patrick,Modiano,06/01/2005,128,https://www.google.fr/books/edition/_/mCKJQgAACAAJ?hl=fr,https://www.google.com/search?q=9782070773336,
9782738113948,Le nouveau Musée de l'homme,Jean-Pierre,Mohen,02/02/2004,266,https://www.google.fr/books/edition/_/oF-Fv77QGZsC?hl=fr,https://www.google.com/search?q=9782738113948,https://inventaire.io/img/entities/c4440eef7709b20e5eef84652b47b5a8b2f47b53
9782253037804,Le bourgeois gentilhomme,Molière,Molière,,,https://www.google.fr/books/edition/_/7zWdQgAACAAJ?hl=fr,https://www.google.com/search?q=9782253037804,https://inventaire.io/img/entities/9794208f39a32536fedda06cf9c27b79e779ca87
